user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,email,username,price,store_id,raw_timestamp,status
3765,2025-11-12,North,Clothing,660.18,Pune,26,Basic,pjacobs@example.org,hugheswilliam,975.1,S104,1972-03-03 19:10:07.581275,Pending
7644,2026-03-10,West,Furniture,1572.95,Pune,19,Basic,,karencruz,141.56,S103,1995-08-26 21:08:03.816477,Active
2798,2026-01-01,North,Electronics,4365.53,Bangalore,22,Basic,,terri58,794.53,S103,2003-09-10 13:51:35.389513,Inactive
2489,2025-10-23,North,Books,4344.35,Mumbai,21,Basic,jmann@example.net,vharvey,1889.22,S104,2005-02-22 01:52:28.875878,Active
4222,2026-04-23,West,Books,2506.72,Pune,25,Premium,chall@example.net,,1545.51,S104,2015-07-13 22:09:56.277334,Active
9114,2025-12-25,South,Books,4860.95,Pune,28,Basic,mark81@example.com,jeffrey21,1214.54,S104,1984-05-12 22:30:23.625862,Pending
6670,2025-09-19,West,Furniture,212.48,Pune,54,Premium,curtis21@example.org,uholmes,229.38,S104,2004-01-23 13:20:06.846819,
7494,2025-06-11,East,Books,2312.17,Delhi,19,Premium,benjamincraig@example.org,tammyewing,481.22,S101,1997-11-06 10:25:01.281632,Active
8856,2026-04-18,North,Furniture,1703.4,Delhi,29,Basic,brownbrett@example.com,wfoster,980.16,S101,1980-09-26 15:35:23.809132,Active
2892,2026-04-19,North,Books,3665.74,Delhi,25,Basic,sgarcia@example.net,wthomas,1841.22,S101,2009-02-28 13:26:10.875065,Inactive
4393,2026-01-16,North,Furniture,2839.23,Bangalore,58,Basic,tcook@example.com,,1713.97,S104,2007-07-22 16:06:56.724862,Inactive
4088,2026-02-13,East,Furniture,138.01,Mumbai,32,Premium,michael07@example.com,thomas03,1244.97,S101,1970-07-12 08:06:26.684381,Pending
5132,2025-12-05,West,Clothing,1518.85,Delhi,55,Basic,,alvinlyons,1111.31,S102,1998-11-26 04:45:27.604290,Active
1036,2025-07-06,South,Books,2728.63,Delhi,25,Basic,kbass@example.net,robertreeves,,S103,2010-08-07 06:55:11.528023,Inactive
3787,2025-08-21,North,Books,3188.87,Delhi,54,Premium,icarpenter@example.com,michelle50,610.79,S104,2013-04-09 01:17:05.457910,Pending
7072,2026-05-10,West,Furniture,2651.24,Bangalore,32,Premium,alexander79@example.net,virginiavincent,1876.37,S101,2000-10-05 11:31:15.139179,Pending
3940,2026-01-06,North,Books,788.36,Mumbai,22,Premium,sarah08@example.net,jonathanmullins,1588.14,S104,1983-09-02 16:54:51.432901,Active
2578,2025-07-18,East,Books,1326.14,Chennai,34,Basic,stevenlopez@example.org,brooke73,1777.55,S102,1978-04-04 15:50:11.667040,Active
1140,2025-11-24,North,Furniture,3224.59,Pune,41,Premium,garrett73@example.org,hardinphilip,858.9,S103,1998-02-10 13:36:44.318227,Inactive
2792,2025-10-20,North,Clothing,3270.68,Delhi,38,Premium,ocox@example.net,ashley18,1066.97,S104,2022-01-29 00:02:05.432801,Inactive
3297,2026-02-11,South,Books,4382.78,Chennai,50,Basic,mary75@example.org,nicholsrussell,1560.53,S103,1985-08-16 02:53:21.496683,Inactive
7084,2025-08-16,East,Clothing,2123.01,Mumbai,39,Premium,wburns@example.net,danielsjennifer,1418.61,S104,1970-10-30 04:26:46.943048,Active
9990,2025-08-30,North,Clothing,4839.91,Chennai,51,Premium,hsmith@example.org,wbonilla,1188.45,S102,1990-03-10 09:45:48.372052,Inactive
5475,2025-10-14,West,Electronics,4906.02,Chennai,33,Premium,athomas@example.com,vwillis,1393.44,S104,1994-08-12 23:07:55.526135,Active
4760,2025-12-07,West,Clothing,2256.85,Delhi,43,Premium,michaelanderson@example.net,kdavis,1577.67,S101,2009-10-28 21:29:40.760863,Active
2983,2026-01-23,North,Clothing,4951.87,Delhi,24,Premium,tara46@example.com,monicabowers,,S103,1978-03-19 14:42:06.838326,Active
8041,2025-08-01,East,Books,993.72,Bangalore,32,Premium,madison25@example.net,pauljohnston,1755.92,S102,1984-08-07 19:41:35.296551,Active
6112,2025-08-07,South,Books,3288.52,Delhi,18,Premium,joshuagraham@example.net,,1087.55,S102,1979-02-10 08:35:41.768559,Pending
3944,2025-08-04,North,Furniture,1560.95,Bangalore,40,Basic,bellkaylee@example.net,hallamanda,517.99,S104,2021-02-03 16:44:31.980777,Active
5324,2026-01-27,North,Furniture,955.88,Chennai,29,Basic,robersonsierra@example.net,jasonbaker,89.87,S103,1970-11-12 17:01:17.195724,Pending
8123,2025-07-21,East,Books,1880.76,Mumbai,18,Premium,nancypetty@example.org,shannonsmith,1561.17,S104,1990-09-04 05:00:32.765441,Inactive
8326,2025-09-10,North,Books,3004.53,Delhi,44,Premium,colescott@example.org,joshua40,,S102,2010-09-11 16:36:33.790202,Pending
6203,2026-05-06,South,Furniture,2630.73,Pune,24,Basic,blakesuzanne@example.net,,560.74,S104,1986-05-31 07:48:00.465190,
6359,2025-10-23,North,Electronics,1116.83,Pune,55,Premium,danielramirez@example.net,jennifer93,668.92,S102,2012-02-29 21:14:35.275557,Active
6311,2026-01-23,West,Clothing,4498.47,Mumbai,32,Premium,erika15@example.org,catherinewillis,1405.86,S101,1976-03-25 18:58:10.919619,Inactive
2163,2025-11-22,North,Electronics,4892.92,Pune,41,Basic,monicathomas@example.org,william35,1271.89,S104,2007-09-29 23:52:15.141744,Inactive
7466,2025-09-02,South,Furniture,2518.78,Mumbai,36,Premium,denise67@example.org,christine92,1484.41,S103,1980-06-07 16:45:15.214717,Inactive
1639,2025-09-15,East,Clothing,2150.23,Pune,40,Premium,wilkersontammy@example.com,wjones,1434.11,S102,2024-11-04 19:03:08.940259,Active
7249,2025-07-22,East,Furniture,4109.96,Delhi,21,Basic,crystal09@example.com,ijones,1692.79,S102,2014-06-26 04:16:02.982255,
6589,2025-10-20,West,Clothing,3963.22,Bangalore,55,Premium,lori80@example.org,wbray,1445.25,S103,2004-05-09 11:48:22.617599,Active
2202,2026-01-15,South,Electronics,985.96,Mumbai,27,Premium,frederickjames@example.com,alisha26,,S102,1995-12-27 00:32:38.095999,
2094,2025-10-17,South,Furniture,3901.06,Bangalore,38,Premium,rperkins@example.com,qbruce,,S101,1990-11-22 02:27:51.656497,Inactive
3822,2026-01-25,South,Furniture,1277.81,Pune,23,Premium,tinaclark@example.org,lewisemily,736.02,S103,1979-08-15 20:44:00.448380,Active
3932,2026-05-27,North,Electronics,1267.69,Pune,33,Premium,richardellis@example.net,jose61,1974.74,S104,1995-04-01 05:31:54.683806,Active
7698,2026-05-09,East,Furniture,648.13,Bangalore,46,Basic,hsmith@example.net,brittanyanderson,1093.57,S104,1995-04-02 23:59:48.808980,Pending
4890,2025-09-03,East,Books,1421.23,Bangalore,32,Basic,burnsmegan@example.net,hhayes,1166.98,S104,1975-10-28 10:30:42.340468,
9366,2025-06-17,West,Books,104.59,Mumbai,43,Basic,burgessamy@example.org,susansilva,271.74,S101,2025-01-06 07:23:30.045039,Active
4451,2026-04-26,West,Clothing,1313.71,Bangalore,38,Basic,debbielong@example.com,,,S101,1980-10-06 07:02:54.475265,Pending
5097,2026-02-12,South,Clothing,3934.9,Delhi,24,Basic,msantana@example.net,bmiller,1298.26,S103,1981-05-16 21:16:49.189718,Inactive
