customer_id,customer_name,email,registration_date,customer_type
CUST0001,Advika Mall,saniurvi@example.net,2025-05-03,PREMIUM
CUST0002,Advik Shankar,yadavraagini@example.net,2025-05-10,REGULAR
CUST0003,Aarav Agarwal,tamanna68@example.com,2023-12-26,VIP
CUST0004,Urmi Din,tararachit@example.com,2025-02-13,PREMIUM
CUST0005,Krishna Ravel,swamywriddhish@example.org,2023-08-23,REGULAR
CUST0006,Praneel Sachdeva,sanesanaya@example.org,2026-05-29,REGULAR
CUST0007,Balhaar Dutta,omishachaudhry@example.org,2026-04-15,VIP
CUST0008,Leela Kibe,yuvrajnagarajan@example.org,2024-09-01,REGULAR
CUST0009,Pahal Tank,hwalla@example.net,2024-01-20,VIP
CUST0010,Orinder Parmer,saidara@example.net,2025-10-27,REGULAR
CUST0011,Charles Srinivasan,hemangini69@example.com,2026-06-20,VIP
CUST0012,Upasna Ganesan,anirudhsehgal@example.org,2025-01-13,PREMIUM
CUST0013,Kamya Anne,ekapadsoni@example.org,2024-07-16,REGULAR
CUST0014,Amol Divan,rehaannori@example.com,2024-07-06,PREMIUM
CUST0015,Faqid Roy,eshanakara@example.net,2026-04-24,VIP
CUST0016,Ishita Guha,nmander@example.net,2025-06-03,VIP
CUST0017,Nachiket Sastry,wahluwalia@example.org,2025-04-22,REGULAR
CUST0018,Harinakshi Verma,duttanidhi@example.net,2026-04-12,PREMIUM
CUST0019,Nandini Barad,chatura78@example.net,2024-12-06,VIP
CUST0020,Oscar Bakshi,chakradhar08@example.org,2026-04-24,VIP
CUST0021,Ekta Setty,fverma@example.net,2025-11-15,REGULAR
CUST0022,Brijesh Doctor,krishna41@example.net,2026-03-14,PREMIUM
CUST0023,Atharv Mall,gautamigarde@example.com,2024-12-28,PREMIUM
CUST0024,Zaid Purohit,gangapillay@example.net,2025-07-15,VIP
CUST0025,Chaitaly Borde,chavvirastogi@example.net,2025-03-04,REGULAR
CUST0026,Kevin Dugal,nigamvivaan@example.net,2024-06-26,VIP
CUST0027,Jatin Pandya,shivansh77@example.net,2023-09-19,REGULAR
CUST0028,Gavin Raja,parthnayar@example.net,2024-09-20,PREMIUM
CUST0029,Odika Arora,devansh78@example.net,2023-07-11,VIP
CUST0030,Yagnesh Dash,jmand@example.com,2025-02-17,PREMIUM
CUST0031,Pratyush Ahluwalia,girish46@example.org,2025-11-06,PREMIUM
CUST0032,Irya Modi,paledhitha@example.net,2025-06-18,REGULAR
CUST0033,Mitali Shroff,sheretanish@example.net,2023-10-15,PREMIUM
CUST0034,Aadhya Tak,psankar@example.com,2024-08-07,PREMIUM
CUST0035,Keya Bail,narangosha@example.net,2026-02-10,REGULAR
CUST0036,Isha Anand,dubeyati@example.com,2024-10-06,PREMIUM
