customer_id,customer_name
CUST0001,Zarna Dewan
CUST0002,Jalsa Kant
CUST0003,Yashoda Pant
CUST0004,Qarin Dhaliwal
CUST0005,Anjali Manda
CUST0006,Parth Pingle
CUST0007,Gaurika Chokshi
CUST0008,Nandini Lanka
CUST0011,Warinder Joshi
CUST0013,Maanas Issac
CUST0019,Qasim Dara
CUST0020,Wyatt Vasa
CUST0021,Odika Prabhu
CUST0022,Urishilla Banik
CUST0023,Sanya Badami
CUST0024,Anmol Mitra
CUST0027,Wriddhish Lalla
CUST0029,Garima Brar
CUST0034,Yoshita Kannan
CUST0037,Pranav De
CUST0038,Rachana Rai
CUST0039,Krishna Mangal
CUST0040,Ojasvi Baria
CUST0044,Balendra Gade
CUST0048,Veda Chandra
CUST0049,Kala Patla
CUST0050,Anika Bhatti
CUST0051,Naksh Khalsa
CUST0052,Bakhshi Devi
CUST0053,Zaid Edwin
CUST0057,Janya Nazareth
CUST0058,Vincent Lala
CUST0060,Yoshita Shere
CUST0062,Kritika Sarin
CUST0063,Mitali Khalsa
CUST0064,Oscar Solanki
CUST0065,Yadavi Balasubramanian
CUST0068,Jalsa Khatri
CUST0069,Udarsh Ramanathan
CUST0070,Viraj Jayaraman
CUST0071,Urishilla Keer
CUST0072,Dayita Gulati
CUST0075,Aarush Kala
CUST0076,Dayamai Shah
CUST0077,Samar Pradhan
CUST0078,Vasana Radhakrishnan
CUST0079,Noah Trivedi
CUST0080,Eesha Andra
CUST0081,Nicholas Shetty
CUST0082,Zansi Narayan
CUST0083,Nathan Soman
CUST0085,Tripti Ganesan
CUST0087,Urvi Warrior
CUST0088,Oliver Mane
CUST0091,Jagdish Uppal
CUST0092,Ishwar Zacharia
CUST0095,Anita Venkataraman
CUST0096,Lajita Sagar
CUST0097,Varenya Anand
CUST0098,Ishanvi Nath
CUST0100,Reva Vyas
CUST0101,Pavani Shah
CUST0102,Vasudha Mand
CUST0104,Bhavna Prakash
CUST0108,Charan Loke
CUST0110,Yatin Cheema
CUST0112,Jeet Cherian
CUST0114,Nidra Krishnamurthy
CUST0115,Chakrika Som
CUST0117,Aashi Venkatesh
CUST0118,Zayyan Venkatesh
CUST0120,Aditya Deol
CUST0122,Saksham Ramakrishnan
CUST0125,Qabil Sachdeva
CUST0126,Avi Ramaswamy
CUST0130,Manya Kar
CUST0132,Om Kari
CUST0134,Jack Sachdev
CUST0135,Diya Maharaj
CUST0136,David Sahota
CUST0137,Ubika Shere
CUST0138,Nitara Gera
CUST0139,Gabriel Shankar
CUST0140,Lakshmi Vasa
CUST0144,Ira Mander
CUST0146,Tanmayi Thaman
CUST0147,Ryan Tailor
CUST0148,Laksh Gera
CUST0151,Christopher Mohanty
CUST0152,Tarak Tak
CUST0155,Dominic Padmanabhan
CUST0156,Sai Dube
CUST0159,Hemal Sridhar
CUST0160,Ishanvi Deep
CUST0162,Yash Soni
CUST0164,Zehaan Johal
CUST0170,Sai Kant
CUST0172,William Mohan
CUST0174,George Chawla
CUST0175,Victor Patla
CUST0176,Arjun Saxena
CUST0177,Pranit Bajwa
CUST0178,Rohan Gade
CUST0179,Amruta Raghavan
